========== key size = 16, value size = 16384 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Latency for percentile 0 : 1.000000
Latency for percentile 1 : 1.000000
Latency for percentile 2 : 1.000000
Latency for percentile 3 : 1.000000
Latency for percentile 4 : 1.000000
Latency for percentile 5 : 1.000000
Latency for percentile 6 : 1.000000
Latency for percentile 7 : 1.000000
Latency for percentile 8 : 1.000000
Latency for percentile 9 : 1.000000
Latency for percentile 10 : 1.000000
Latency for percentile 11 : 1.000000
Latency for percentile 12 : 1.000000
Latency for percentile 13 : 1.000000
Latency for percentile 14 : 1.000000
Latency for percentile 15 : 1.000000
Latency for percentile 16 : 1.000000
Latency for percentile 17 : 1.000000
Latency for percentile 18 : 1.000000
Latency for percentile 19 : 1.000000
Latency for percentile 20 : 1.000000
Latency for percentile 21 : 1.000000
Latency for percentile 22 : 1.000000
Latency for percentile 23 : 1.000000
Latency for percentile 24 : 1.000000
Latency for percentile 25 : 1.000000
Latency for percentile 26 : 1.000000
Latency for percentile 27 : 1.000000
Latency for percentile 28 : 1.000000
Latency for percentile 29 : 1.000000
Latency for percentile 30 : 1.000000
Latency for percentile 31 : 1.000000
Latency for percentile 32 : 1.000000
Latency for percentile 33 : 1.000000
Latency for percentile 34 : 1.000000
Latency for percentile 35 : 1.000000
Latency for percentile 36 : 1.000000
Latency for percentile 37 : 1.000000
Latency for percentile 38 : 1.040000
Latency for percentile 39 : 1.120000
Latency for percentile 40 : 1.200000
Latency for percentile 41 : 1.280000
Latency for percentile 42 : 1.360000
Latency for percentile 43 : 1.440000
Latency for percentile 44 : 1.520000
Latency for percentile 45 : 1.600000
Latency for percentile 46 : 1.680000
Latency for percentile 47 : 1.760000
Latency for percentile 48 : 1.840000
Latency for percentile 49 : 1.920000
Latency for percentile 50 : 2.000000
Latency for percentile 51 : 4.160000
Latency for percentile 52 : 4.320000
Latency for percentile 53 : 4.480000
Latency for percentile 54 : 4.640000
Latency for percentile 55 : 4.800000
Latency for percentile 56 : 4.960000
Latency for percentile 57 : 5.120000
Latency for percentile 58 : 5.280000
Latency for percentile 59 : 5.440000
Latency for percentile 60 : 5.600000
Latency for percentile 61 : 5.760000
Latency for percentile 62 : 5.920000
Latency for percentile 63 : 6.080000
Latency for percentile 64 : 6.240000
Latency for percentile 65 : 6.400000
Latency for percentile 66 : 6.560000
Latency for percentile 67 : 6.720000
Latency for percentile 68 : 6.880000
Latency for percentile 69 : 7.040000
Latency for percentile 70 : 7.200000
Latency for percentile 71 : 7.360000
Latency for percentile 72 : 7.520000
Latency for percentile 73 : 7.680000
Latency for percentile 74 : 7.840000
Latency for percentile 75 : 8.000000
Latency for percentile 76 : 8.160000
Latency for percentile 77 : 8.320000
Latency for percentile 78 : 8.480000
Latency for percentile 79 : 8.640000
Latency for percentile 80 : 8.800000
Latency for percentile 81 : 8.960000
Latency for percentile 82 : 9.120000
Latency for percentile 83 : 9.280000
Latency for percentile 84 : 9.440000
Latency for percentile 85 : 9.600000
Latency for percentile 86 : 9.760000
Latency for percentile 87 : 9.920000
Latency for percentile 88 : 22.480000
Latency for percentile 89 : 23.440000
Latency for percentile 90 : 24.400000
Latency for percentile 91 : 25.000000
Latency for percentile 92 : 25.000000
Latency for percentile 93 : 25.000000
Latency for percentile 94 : 25.000000
Latency for percentile 95 : 25.000000
Latency for percentile 96 : 25.000000
Latency for percentile 97 : 25.000000
Latency for percentile 98 : 25.000000
Latency for percentile 99 : 25.000000
Latency for percentile 100 : 25.000000
Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.014950
Latency for percentile 2 : 0.029901
Latency for percentile 3 : 0.044851
Latency for percentile 4 : 0.059802
Latency for percentile 5 : 0.074752
Latency for percentile 6 : 0.089703
Latency for percentile 7 : 0.104653
Latency for percentile 8 : 0.119604
Latency for percentile 9 : 0.134554
Latency for percentile 10 : 0.149505
Latency for percentile 11 : 0.164455
Latency for percentile 12 : 0.179406
Latency for percentile 13 : 0.194356
Latency for percentile 14 : 0.209307
Latency for percentile 15 : 0.224257
Latency for percentile 16 : 0.239208
Latency for percentile 17 : 0.254158
Latency for percentile 18 : 0.269109
Latency for percentile 19 : 0.284059
Latency for percentile 20 : 0.299010
Latency for percentile 21 : 0.313960
Latency for percentile 22 : 0.328911
Latency for percentile 23 : 0.343861
Latency for percentile 24 : 0.358812
Latency for percentile 25 : 0.373762
Latency for percentile 26 : 0.388713
Latency for percentile 27 : 0.403663
Latency for percentile 28 : 0.418614
Latency for percentile 29 : 0.433564
Latency for percentile 30 : 0.448515
Latency for percentile 31 : 0.463465
Latency for percentile 32 : 0.478416
Latency for percentile 33 : 0.493366
Latency for percentile 34 : 0.508317
Latency for percentile 35 : 0.523267
Latency for percentile 36 : 0.538218
Latency for percentile 37 : 0.553168
Latency for percentile 38 : 0.568119
Latency for percentile 39 : 0.583069
Latency for percentile 40 : 0.598020
Latency for percentile 41 : 0.612970
Latency for percentile 42 : 0.627921
Latency for percentile 43 : 0.642871
Latency for percentile 44 : 0.657822
Latency for percentile 45 : 0.672772
Latency for percentile 46 : 0.687723
Latency for percentile 47 : 0.702673
Latency for percentile 48 : 0.717624
Latency for percentile 49 : 0.732574
Latency for percentile 50 : 0.747525
Latency for percentile 51 : 0.762475
Latency for percentile 52 : 0.777426
