========== key size = 16, value size = 1024 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Latency for percentile 0 : 1.000000
Latency for percentile 1 : 1.000000
Latency for percentile 2 : 1.000000
Latency for percentile 3 : 1.000000
Latency for percentile 4 : 1.000000
Latency for percentile 5 : 1.000000
Latency for percentile 6 : 1.000000
Latency for percentile 7 : 1.000000
Latency for percentile 8 : 1.000000
Latency for percentile 9 : 1.000000
Latency for percentile 10 : 1.000000
Latency for percentile 11 : 1.000000
Latency for percentile 12 : 1.000000
Latency for percentile 13 : 1.000000
Latency for percentile 14 : 1.000000
Latency for percentile 15 : 1.000000
Latency for percentile 16 : 1.000000
Latency for percentile 17 : 1.000000
Latency for percentile 18 : 1.000000
Latency for percentile 19 : 1.000000
Latency for percentile 20 : 1.000000
Latency for percentile 21 : 1.000000
Latency for percentile 22 : 1.000000
Latency for percentile 23 : 1.000000
Latency for percentile 24 : 1.000000
Latency for percentile 25 : 1.000000
Latency for percentile 26 : 1.000000
Latency for percentile 27 : 1.000000
Latency for percentile 28 : 1.000000
Latency for percentile 29 : 1.000000
Latency for percentile 30 : 1.000000
Latency for percentile 31 : 1.000000
Latency for percentile 32 : 1.000000
Latency for percentile 33 : 1.000000
Latency for percentile 34 : 1.000000
Latency for percentile 35 : 1.000000
Latency for percentile 36 : 1.000000
Latency for percentile 37 : 1.000000
Latency for percentile 38 : 1.000000
Latency for percentile 39 : 1.000000
Latency for percentile 40 : 1.000000
Latency for percentile 41 : 1.000000
Latency for percentile 42 : 1.000000
Latency for percentile 43 : 1.000000
Latency for percentile 44 : 3.120000
Latency for percentile 45 : 3.350000
Latency for percentile 46 : 3.580000
Latency for percentile 47 : 3.810000
Latency for percentile 48 : 4.080000
Latency for percentile 49 : 4.540000
Latency for percentile 50 : 5.000000
Latency for percentile 51 : 5.460000
Latency for percentile 52 : 5.920000
Latency for percentile 53 : 6.190000
Latency for percentile 54 : 6.420000
Latency for percentile 55 : 6.650000
Latency for percentile 56 : 6.880000
Latency for percentile 57 : 7.110000
Latency for percentile 58 : 7.340000
Latency for percentile 59 : 7.570000
Latency for percentile 60 : 7.800000
Latency for percentile 61 : 8.030000
Latency for percentile 62 : 8.260000
Latency for percentile 63 : 8.490000
Latency for percentile 64 : 8.720000
Latency for percentile 65 : 8.950000
Latency for percentile 66 : 9.180000
Latency for percentile 67 : 9.410000
Latency for percentile 68 : 9.640000
Latency for percentile 69 : 9.870000
Latency for percentile 70 : 35.700000
Latency for percentile 71 : 39.610000
Latency for percentile 72 : 43.520000
Latency for percentile 73 : 47.430000
Latency for percentile 74 : 51.500000
Latency for percentile 75 : 57.250000
Latency for percentile 76 : 63.000000
Latency for percentile 77 : 68.750000
Latency for percentile 78 : 74.500000
Latency for percentile 79 : 78.890000
Latency for percentile 80 : 82.800000
Latency for percentile 81 : 86.710000
Latency for percentile 82 : 90.620000
Latency for percentile 83 : 94.530000
Latency for percentile 84 : 98.440000
Latency for percentile 85 : 102.350000
Latency for percentile 86 : 106.260000
Latency for percentile 87 : 110.300000
Latency for percentile 88 : 117.200000
Latency for percentile 89 : 124.100000
Latency for percentile 90 : 131.000000
Latency for percentile 91 : 137.900000
Latency for percentile 92 : 144.800000
Latency for percentile 93 : 151.700000
Latency for percentile 94 : 158.600000
Latency for percentile 95 : 165.500000
Latency for percentile 96 : 176.400000
Latency for percentile 97 : 187.000000
Latency for percentile 98 : 187.000000
Latency for percentile 99 : 187.000000
Latency for percentile 100 : 187.000000
Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.019118
Latency for percentile 2 : 0.038235
Latency for percentile 3 : 0.057353
Latency for percentile 4 : 0.076471
Latency for percentile 5 : 0.095588
Latency for percentile 6 : 0.114857
Latency for percentile 7 : 0.134000
Latency for percentile 8 : 0.153143
Latency for percentile 9 : 0.172286
Latency for percentile 10 : 0.191429
Latency for percentile 11 : 0.210571
Latency for percentile 12 : 0.229714
Latency for percentile 13 : 0.248857
Latency for percentile 14 : 0.268000
Latency for percentile 15 : 0.287143
Latency for percentile 16 : 0.306286
Latency for percentile 17 : 0.325429
Latency for percentile 18 : 0.344571
Latency for percentile 19 : 0.363714
Latency for percentile 20 : 0.382857
Latency for percentile 21 : 0.402000
Latency for percentile 22 : 0.421143
Latency for percentile 23 : 0.440286
Latency for percentile 24 : 0.459429
Latency for percentile 25 : 0.478571
Latency for percentile 26 : 0.497714
Latency for percentile 27 : 0.516857
Latency for percentile 28 : 0.536000
Latency for percentile 29 : 0.555143
Latency for percentile 30 : 0.574286
Latency for percentile 31 : 0.593429
Latency for percentile 32 : 0.612571
Latency for percentile 33 : 0.631714
Latency for percentile 34 : 0.650857
Latency for percentile 35 : 0.670000
Latency for percentile 36 : 0.689143
Latency for percentile 37 : 0.708286
Latency for percentile 38 : 0.727429
Latency for percentile 39 : 0.746571
Latency for percentile 40 : 0.765714
Latency for percentile 41 : 0.784857
Latency for percentile 42 : 0.804000
Latency for percentile 43 : 0.823143
Latency for percentile 44 : 0.842286
Latency for percentile 45 : 0.861429
Latency for percentile 46 : 0.880571
Latency for percentile 47 : 0.899714
Latency for percentile 48 : 0.918857
Latency for percentile 49 : 0.938000
Latency for percentile 50 : 0.957143
Latency for percentile 51 : 0.976286
Latency for percentile 52 : 0.995429
